Symbol
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK-B
UNH
V
JPM
XOM
LLY
AVGO
PG
MA
HD
MRK
ABBV
COST
PEP
BAC
MCD
ADBE
CVX
KO
WMT
ACN
TMO
DIS
CSCO
DHR
ABT
NFLX
CRM
TXN
LIN
WFC
INTC
AMGN
SBUX
HON
LOW
MDT
BMY
UNP
QCOM
PM
NEE
CAT
